"R_FAR_secNUM","R_FAR_pensinsecNUM","R_FARpenNUM","R_FAR_airqual","R_FAR_floorsolidNUM","R_FAR_kuivaliete","R_FAR_nonslippery","OUT_SOWmortpro","OUT_SOWmortdic","OUT_SOWtotremoproNUM","OUT_SOWtotremdic","OUT_SOWcullproNUM","OUT_SOWculdic","OUT_JOINTproNUM","OUT_ABSproNUM","OUT_PLEURproNUM","OUT_PNEUMproNUM","OUT_LIVERproNUM","OUT_ORGANproNUM","OUT_SHOULDERproNUM","OUT_ALLproNUM","OUT_PARTproNUM","OUT_ANYproNUM","OUT_ALL_01","OUT_PART_01","OUT_ANY_01"
6,28,"4,8",1,0,2,0,5,0,34,0,29,0,2,7,2,2,0,1,4,2,13,19,2,2,2
1,10,"4.6000000000000000",0,100,1,0,5,0,38,0,33,0,0,0,0,0,0,0,8,0,0,8,1,1,1
4,15,"5.6430000000000000",0,50,1,0,8,0,53,1,45,1,0,5,5,3,2,3,2,2,5,11,2,1,1
4,40,"3,9",0,60,2,0,27,1,57,1,30,0,3,5,4,0,7,3,3,1,7,20,1,1,2
12,24,"",0,10,2,0,10,1,65,1,55,1,2,11,29,1,0,0,6,2,15,45,2,2,2
2,18,"8",0,100,1,0,0,0,64,1,64,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,18,"4,32",1,10,2,1,17,1,47,1,30,0,3,14,10,1,1,0,7,7,16,32,2,2,2
2,40,"5.2650000000000010",0,60,2,0,13,1,44,0,31,0,4,0,1,0,0,0,0,0,4,4,1,1,1
2,16,"4,505",0,55,2,0,0,0,24,0,24,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,20,"5.3199999999999990",0,30,2,0,6,0,34,0,28,0,1,5,1,1,0,0,8,3,15,18,2,2,1
1,24,"4,68",0,55,2,0,9,0,38,0,29,0,0,4,11,0,0,0,7,0,4,19,1,1,1
5,12,"4,2545",0,20,2,1,5,0,41,0,36,0,3,15,1,1,0,6,3,0,35,35,1,2,2
8,12,"4,81",0,50,2,0,10,1,79,1,70,1,4,6,26,1,1,1,7,5,10,44,2,1,2
1,12,"7,125",0,100,1,0,8,0,35,0,27,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,75,"5.0000000000000000",0,50,2,0,9,0,50,1,42,1,2,4,2,0,0,0,1,1,8,8,1,1,1
2,16,"6,27",0,60,2,0,4,0,26,0,22,0,0,0,0,0,0,0,0,0,0,0,1,1,1
1,40,"9,25",0,50,2,1,8,0,48,1,40,1,2,7,14,2,0,0,7,5,16,33,2,2,2
1,12,"6.9712650000000000",0,100,1,0,2,0,31,0,29,0,0,0,0,0,0,0,0,0,0,0,1,1,1
3,30,"8,75",0,10,2,1,5,0,43,0,38,1,2,4,1,0,0,2,2,1,8,11,1,1,1
2,24,"5,9",0,60,1,0,7,0,45,0,38,1,5,16,0,0,0,0,5,2,28,28,2,2,2
8,35,"4.8260000000000000",0,10,2,1,8,0,35,0,27,0,1,9,2,1,0,0,3,1,13,15,1,2,1
1,18,"4,86",0,40,2,0,4,0,34,0,30,0,5,7,14,0,0,0,2,2,7,23,2,1,2
6,12,"4,3788",1,10,2,0,5,0,49,1,44,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,20,"4,81",0,58,2,0,23,1,69,1,45,1,5,9,32,1,0,0,12,1,19,49,1,2,2
2,36,"5.0000000000000000",0,50,2,0,11,1,45,0,34,0,2,7,1,1,0,0,1,1,11,12,1,1,1
6,40,"5.2000000000000000",0,55,2,0,14,1,58,1,45,1,3,5,2,1,0,0,2,1,11,12,1,1,1
2,0,"5,13",0,50,2,0,2,0,43,0,41,1,11,5,0,0,0,0,0,0,16,16,1,2,1
1,22,"6.4480000000000000",0,60,2,0,17,1,53,1,35,0,13,0,0,0,0,13,7,7,20,33,2,2,2
1,44,"4.8500000000000000",0,75,2,0,11,1,60,1,49,1,1,8,36,3,0,0,13,0,9,49,1,1,2
6,28,"4.9399999999999995",0,60,2,0,19,1,51,1,32,0,2,8,2,0,0,0,1,1,10,11,2,1,1
5,28,"5,32",0,10,2,0,7,0,46,1,39,1,3,15,31,2,0,0,23,4,20,55,2,2,2
4,44,"4.9950000000000010",0,60,2,0,14,1,94,1,80,1,4,7,4,4,7,5,5,2,14,27,2,2,2
1,18,"5,13",0,63,2,0,10,1,24,0,14,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,20,"5.2000000000000000",0,60,2,0,15,1,38,0,24,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,42,"4,42",0,40,2,0,17,1,52,1,35,0,2,12,28,2,0,0,9,4,19,47,2,2,2
1,112,"4,86",0,10,2,0,12,1,68,1,56,1,2,4,0,0,0,0,2,0,8,8,1,1,1
6,38,"4,5",0,55,2,0,6,0,45,0,39,1,0,5,1,1,0,0,2,1,9,11,1,1,1
5,10,"4,2875",0,50,2,1,7,0,57,1,50,1,4,9,0,3,0,0,3,0,15,15,1,2,1
6,42,"4,68",0,10,2,0,19,1,61,1,42,1,3,15,29,2,0,0,8,3,19,47,2,2,2
3,24,"4,7288",0,55,2,1,11,1,41,0,35,0,2,10,23,2,0,0,7,2,11,39,2,2,2
6,38,"4.9399999999999995",0,0,2,0,6,0,44,0,33,0,4,4,1,0,0,0,2,1,11,12,1,1,1
2,9,"3,87",0,75,2,0,14,1,121,1,107,1,0,2,0,2,11,0,8,2,0,19,2,1,1
7,36,"4,08",1,10,1,0,16,1,58,1,42,1,5,10,5,1,0,0,4,4,19,24,2,2,2
